,code,name,17ReportX,16ReportX,2007net,2008net,16net,17net,2007roe,2008roe,16roe,17roe
1014,822,山东海化,1.96,-0.59,34913.93,20995.45,-12308.68,68518.87,10.13,5.13,-5.58,27.54
1015,823,超声电子,1.78,1.71,10784.04,10976.15,18722.18,19190.83,10.97,7.63,6.41,6.25
1016,825,太钢不锈,1.09,0.93,425652.88,123481.52,115058.74,462188.51,27.1,6.73,5.25,18.72
1017,826,启迪桑德,14.45,9.71,8657.82,11131.88,108135.94,125115.22,22.42,17.07,15.79,11.01
1018,828,东莞控股,4.33,4.49,20485.2,18448.38,82901.82,88681.59,7.91,6.99,17.12,16.46
1019,829,天音控股,0.95,1.61,24571.31,13873.66,22342.68,23420.26,29.3,9.32,10.48,9.69
1020,830,鲁西化工,8.68,1.1,22460.67,22950.1,25259.8,194993.64,10.59,10.19,3.09,26.62
1021,831,五矿稀土,0.08,-0.04,38019.77,-49802.38,1858.91,3051.14,29.96,-28.32,0.85,1.52
1022,833,贵糖股份,1.29,0.6,6195.59,6456.84,3873.81,7976.62,9.51,8.79,1.47,2.98
1023,836,鑫茂科技,3.15,0.2,2673.95,23258.9,4744.71,8412.75,10.72,61.35,2.86,4.88
1024,837,秦川机床,0.21,0.23,7784.27,6487.34,1496.83,1645.5,9.37,9.36,0.53,0.58
1025,838,财信发展,3.33,10.49,5880.32,1054.67,11066.25,19579.02,16.19,3.02,7.01,11.22
1026,848,承德露露,4.74,4.1,8730.32,10984.12,45036.71,41359.79,17.11,19.68,24.83,21.52
1027,850,华茂股份,0.71,0.72,14661.63,13760.5,9857.48,10403.35,9.36,9.45,2.14,2.19
1028,851,高鸿股份,16.89,7.18,1061.76,1116.32,8009.69,17930.83,2.48,2.2,2.9,5.66
1029,852,石化机械,0.1,-8.14,9278.22,10186.35,-82872.2,941.38,10.35,11.6,-38.96,0.54
1030,856,冀东装备,-0.1,-0.14,-15006.06,-16309.61,2312.46,1554.18,-49.28,-107.52,8.7,5.18
1031,859,国风塑业,2.66,3.97,2263.72,462.63,1835.77,6022.78,2.27,0.44,1.25,4.02
1032,860,顺鑫农业,2.98,1.87,14723.92,22105.16,41256.88,43836.95,8.61,9.91,7.09,6.32
1033,861,海印股份,1.7,1.44,13508.96,14325.23,20634.72,23002.66,11.3,18.57,6.93,7.27
1034,862,银星能源,-9.95,0.38,1896.43,2873.53,1103.02,-18861.37,11.23,14.91,0.7,-7.04
1035,868,安凯客车,-9.73,2.14,2366.29,2402.56,5135.07,-23015.27,3.59,3.6,3.96,-19.1
1036,869,张裕A,1.62,1.1,63562.78,89462.08,98246.05,103169.51,30.98,38.26,12.55,12.14
1037,875,吉电股份,-2.75,-0.03,12328.67,-38117.28,1300.49,-33953.39,3.54,-16.39,0.34,-4.54
1038,877,天山股份,2.53,0.54,10479.52,18606.9,9978.54,26492.52,17.14,25.22,1.61,4.33
1039,878,云南铜业,0.23,-0.07,97555.05,-280296.38,20342.72,22746.91,14.17,-54.37,3.75,4.06
1040,880,潍柴重机,0.43,0.28,5415.59,6919.87,1967.96,2350.6,12.85,14.33,1.52,1.78
1041,881,中广核技,3.07,1.94,12662.84,16113.35,31191.36,38886.16,14.84,16.38,23.03,7.42
1042,882,华联股份,0.78,2.31,2558.58,5021.43,11597.69,1986.28,4.45,8.21,1.88,0.26
1043,885,同力水泥,14.29,3.3,4219.29,14291.85,47116.68,60285.08,24.54,22.68,9.14,12.09
1044,886,海南高速,3.72,2.37,2537.84,2666.49,6326.02,9431.06,1.148,1.19,2.5,3.61
1045,887,中鼎股份,9.38,5.55,12025.7,16244.22,90104.69,112744.49,23.98,21.41,16.75,16.1
1046,888,峨眉山A,4.24,8.56,4635.01,2232.82,19119.95,19660.58,7.71,3.65,9.35,9.27
1047,889,茂业通信,68.35,61.07,334.43,360.14,21995.41,22858.12,0.49,0.52,9.34,8.93
1048,890,法尔胜,9.29,13.75,1540.41,1028.04,14134.74,14313.67,1.57,1.05,10.91,17.92
1049,895,双汇发展,7.69,6.3,56188.1,69889.26,440505.64,431929.99,26.73,31.71,28.33,31.4
1050,897,津滨发展,-1.61,0.78,7431.35,6035.9,4705.62,-11935.91,3.47,2.76,3.69,-9.63
1051,898,鞍钢股份,0.74,0.54,753300.0,298100.0,161600.0,560500.0,21.32,5.57,3.67,11.81
1052,899,赣能股份,2.98,10.59,551.19,3571.03,37823.58,1645.01,2.27,2.11,8.24,0.36
1053,900,现代投资,1.47,1.44,58992.14,57098.39,82168.31,86493.23,19.04,17.64,11.2,10.56
