,code,17PriceX,16PriceX
244,600366,2.11,10.25
245,600367,0.71,3.12
246,600368,1.08,2.24
247,600369,1.17,2.51
248,600370,0.96,6.53
249,600371,1.22,3.02
250,600372,3.68,10.7
251,600375,0.65,2.43
252,600376,0.56,6.81
253,600377,1.39,3.73
254,600379,1.36,6.32
255,600380,1.2,3.68
256,600381,0.38,1.34
257,600382,0.93,4.86
258,600383,1.92,11.39
259,600387,0.83,4.47
260,600388,6.21,9.33
261,600389,0.97,2.68
262,600390,1.23,4.49
263,600391,0.99,5.4
264,600392,3.12,4.39
265,600393,0.95,4.89
266,600395,2.44,1.6
267,600396,0.34,2.11
268,600397,0.67,3.71
269,600399,1.26,4.77
270,600401,0.52,5.8
271,600403,0.77,3.24
272,600405,1.01,3.51
273,600408,0.28,1.43
274,600409,1.33,5.66
275,600410,1.04,2.33
276,600416,0.95,3.62
277,600418,1.24,6.76
278,600419,5.57,14.76
279,600420,2.21,6.02
280,600422,3.09,10.6
281,600423,0.36,1.88
282,600425,1.07,1.61
283,600426,1.74,2.7
284,600428,0.38,1.03
285,600433,2.1,11.93
286,600436,8.13,11.82
287,600438,1.96,2.16
288,600439,0.53,1.9
289,600444,1.04,1.84
290,600446,9.04,42.83
291,600448,0.92,3.04
292,600449,1.31,1.58
293,600455,2.46,9.66
294,600456,0.35,1.54
295,600458,1.41,2.84
296,600459,1.0,3.53
297,600460,3.55,5.38
298,600461,1.5,5.57
299,600462,0.74,4.71
300,600463,1.57,4.92
301,600467,0.39,1.84
302,600468,0.97,3.45
303,600470,0.56,2.43
304,600475,0.85,2.8
305,600476,1.39,3.89
306,600478,1.94,5.03
307,600479,0.72,1.62
308,600481,0.84,20.89
309,600482,1.35,6.28
310,600483,1.15,5.66
311,600486,4.64,4.17
312,600487,9.37,10.14
313,600488,0.54,1.76
314,600489,0.77,2.53
315,600490,4.75,11.37
316,600491,1.5,6.13
317,600493,1.71,9.29
318,600495,1.47,2.27
319,600497,0.73,2.05
320,600498,4.07,6.68
321,600499,3.58,5.03
322,600500,0.42,1.81
323,600501,0.86,5.66
324,600502,3.92,13.86
325,600505,0.93,2.89
326,600506,0.93,4.33
327,600507,10.45,-2.09
328,600508,0.43,1.43
329,600509,0.42,2.35
330,600510,1.05,2.97
331,600511,1.93,2.34
332,600512,1.04,3.07
333,600513,2.66,7.01
334,600516,5.51,3.06
335,600517,0.69,1.34
336,600518,11.79,10.45
337,600519,5.42,6.87
